source,date,rating,text
yelp,2025-10-29,3,"This place is super touristy and really crowded during the weekend. They do have unique menu items and experiences, which draws tourists. There's a bar for coffee flight tasting, there's coffee cocktails you can order, and you can buy beans that are exclusive to either the specific store or Starbucks Reserve. One of the limited edition coffee beans is the one aged on Knob Creek whiskey barrels, that go for $40 for a regular size bag. Overall, it is a unique experience. Try to go during weekday morning to beat the crowd."
yelp,2025-09-15,4,"As someone who doesn't care about coffee, I actually think this Starbucks is worth a stop if you're visiting Chicago. There are 4 levels plus a small rooftop terrace. The bottom floor is merch and to-go drinks. Floor 2 is the bakery/cafe. Floor 3 is an experiential coffee bar where you can try brews only available there. Floor 4 is the full bar that sells coffee cocktails. We decided to indulge there. If you see a seat open at the bar you are able to order there instead of standing in line, but you can't order at the bar unless you have a seat. While the Roastery Old Fashioned and the Matcha Margarita sounded enticing, I went with the Cold Brew Spiced Rum. I loved the combinations of flavors. My bf ordered the Whiskey Cloud which is more coffee-forward and comes with a fun do-it-yourself presentation."
yelp,2026-03-02,4,"This was our first time visiting a Starbucks Reserve Roastery. The space itself is impressive -- modern, energetic, and thoughtfully designed. The curved escalator that takes you to the second floor is a cool architectural touch. Each floor offers something a little different. We visited in the winter, so the rooftop was closed, but we spent time at the cocktail bar instead. We tried the Tiramisu Martini and the Old Fashioned, and both were surprisingly excellent -- true craft cocktail quality. We also ordered the olive oil cake and a donut, both solid choices. We also purchased a couple bags of fresh beans that were scooped and sealed right in front of us."
yelp,2025-09-13,5,"If you like Starbucks, you'd be in heaven in this place! This is a 4 story Starbucks on Michigan Avenue. It's right next door to our hotel so we've been here every day on our visit to this city! On our first visit, we went up to the 4th floor for cocktails. I had a Pumpkin Spice Espresso Martini and my wife had a Matcha Margarita. Both drinks were outstanding! The next couple of mornings we stopped in for coffee, matcha, and pastries. The pastries here are not like the ones in regular Starbucks stores, they're amazing! My raspberry croissant was one of the best I've ever had!"
yelp,2025-09-20,4,"The world's largest Starbucks! So a coffee lover like me surely has to pay homage! First tip- go early! The second floor pastry lounge opens at 8am and people line up early to get a good seat. It may need a little patience dealing with all these but if you can, the food here is amazing. The croissants had the crispiest crust I've ever tasted!!! Tip: if secondary floor is too crowded, try going up to the 3rd or 4th floors - we found some great seats up there."
yelp,2025-09-11,4,"Visited the Starbucks Reserve in Chicago and ordered an affogato along with a cold tiramisu latte. The affogato was a nice mix of smooth espresso over creamy gelato. The tiramisu latte had a dessert-like sweetness with a coffee backbone. The space itself is impressive, 4 floors, open design, and a lot of energy from the crowd. Overall, it's more of an experience than just grabbing coffee."
yelp,2025-09-27,4,"I drove from Cleveland Ohio just to see this roastery. I was impressed with it. They have four or five floors. Each floor had almost its own identity. I didn't know what floor to visit. A staff member was able to direct us. And I'm glad that she did. Because I was able to enjoy each floor in a reasonable amount of time."
yelp,2025-09-26,4,"Is it a tourist trap? Yes. Did it trap us? Also, yes. The Starbucks Reserve Roastery on Michigan Ave is a great example of just how much you can dress up a coffee bean. With 5 stories of bars. Unfortunately for us the 5th floor patio was closed but all other floors were open. The trick here is to go to at least the 3rd floor in order to get your drink due to the massive crowds on the first two floors. The 4th floor is a cocktail area. After reaching the 3rd floor bar we ordered their brownie, a pumpkin spice whiskey barrel-aged cold brew, and tiramisu latte. The drinks were insanely good."
yelp,2025-10-15,4,"10/1/25 Wednesday at 7:30 AM. The largest Starbucks in the world! It wasn't too crowded when I arrived but people started to trickle in shortly after. Floors 2 to 5 don't open till 8 AM so I ordered a drink while waiting. I got the dark chocolate mocha. Grande was the default size if you don't specify. The drinks here are marked up, $1-2 higher than normal Starbucks. Comparable to airport prices. Unfortunately I didn't get to see the roof level as it was closed for the season."
yelp,2026-01-02,4,"This was a cool spot to check out, especially as a tourist in Chicago! The line is long but it moved fast! Inside, the staff is super friendly and there's clear signage on what each level is and where to explore. We got a few coffees and pastries to share which were delicious (especially loved the olive oil cake we tried!) but my favorite had to be the espresso martini flight. I also loved seeing the classes and in-person experiences they offered. I wish there was more seating but we were able to finally find a quiet spot upstairs on the top floor."
